Candidate,Gender,Age,Experience,Decision
A,Male,32,5,Approved
B,Female,28,4,Approved
C,Male,35,8,Approved
D,Female,33,7,Approved
E,Male,40,10,Approved
F,Female,38,9,Approved
G,Male,27,2,Rejected
H,Female,26,2,Rejected
I,Male,45,15,Approved
J,Female,43,14,Approved
K,Male,31,3,Rejected
L,Female,30,3,Rejected
M,Male,36,6,Approved
N,Female,37,6,Approved
O,Male,29,1,Rejected
P,Female,28,1,Rejected
Q,Male,42,12,Approved
R,Female,41,11,Approved
S,Male,34,4,Approved
T,Female,35,5,Approved
U,Male,39,9,Rejected
V,Female,40,8,Rejected
W,Male,33,6,Approved
X,Female,32,6,Approved
Y,Male,44,13,Approved
Z,Female,45,12,Approved
