Candidate,Gender,Age,Experience,Decision
A,Male,28,3,Selected
B,Female,25,3,Rejected
C,Male,35,10,Selected
D,Female,30,5,Selected
E,Male,29,4,Selected
F,Female,27,4,Rejected
G,Male,40,12,Selected
H,Female,38,10,Selected
I,Male,26,2,Rejected
J,Female,24,2,Rejected
K,Male,45,15,Selected
L,Female,42,13,Rejected
M,Male,31,6,Selected
N,Female,29,5,Selected
O,Male,33,7,Selected
P,Female,32,6,Rejected
Q,Male,37,9,Selected
R,Female,36,9,Rejected
S,Male,23,1,Rejected
T,Female,22,1,Rejected
U,Male,50,20,Selected
V,Female,48,18,Rejected
W,Male,27,3,Selected
X,Female,26,3,Rejected
Y,Male,31,5,Selected
Z,Female,30,5,Selected
AA,Male,44,14,Rejected
AB,Female,43,13,Rejected
AC,Male,38,8,Selected
AD,Female,37,7,Rejected
